Name,50 FR 15,100 FR 15,200 FR 15,500 FR 15,1000 FR 15,1650 FR 15,100 BK 15,200 BK 15,100 BR 15,200 BR 15,100 FL 15,200 FL 15,200 IM 15,400 IM 15,50 FR 16,100 FR 16,200 FR 16,500 FR 16,1000 FR 16,1650 FR 16,100 BK 16,200 BK 16,100 BR 16,200 BR 16,100 FL 16,200 FL 16,200 IM 16,400 IM 16,50 FR 17,100 FR 17,200 FR 17,500 FR 17,1000 FR 17,1650 FR 17,100 BK 17,200 BK 17,100 BR 17,200 BR 17,100 FL 17,200 FL 17,200 IM 17,400 IM 17,50 FR 18,100 FR 18,200 FR 18,500 FR 18,1000 FR 18,1650 FR 18,100 BK 18,200 BK 18,100 BR 18,200 BR 18,100 FL 18,200 FL 18,200 IM 18,400 IM 18,Top 3 Power Points,Top 3 Ratio,Top 3 Improvement,Top 5 Improvement
Corban Rawls,21.3,45.6,98.98,299.81,0.0,0.0,57.32,121.64,57.45,139.72,51.81,127.32,111.56,262.14,21.22,44.15,97.02,298.5,0.0,0.0,0.0,126.45,58.07,145.73,56.5,134.13,110.13,264.93,21.23,45.31,98.43,268.24,578.27,0.0,53.23,120.39,58.08,0.0,51.4,0.0,110.69,0.0,20.95,44.79,96.25,265.2,0.0,0.0,63.09,135.78,60.99,0.0,59.89,121.39,132.91,0.0,831.0,101.89006210657345,11.89006210657345,11.244092582946681
Corben Miles,21.12,47.31,114.73,0.0,0.0,0.0,60.44,0.0,0.0,0.0,59.23,0.0,134.8,0.0,20.49,46.13,118.01,0.0,0.0,0.0,60.8,0.0,0.0,0.0,0.0,0.0,135.04,0.0,20.3,45.15,120.03,0.0,0.0,0.0,61.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.42,45.62,118.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.3333333333334,103.39550247011375,13.395502470113751,8.705667879092152
Corey John,21.36,47.06,103.39,290.83,606.05,1021.17,53.33,112.86,68.37,146.49,56.8,125.58,121.7,280.69,20.55,46.18,100.67,286.63,583.21,0.0,51.62,112.22,65.39,0.0,50.34,117.25,120.85,0.0,20.87,45.73,99.86,293.39,0.0,1022.56,52.75,113.56,64.59,137.96,50.55,118.61,112.86,257.52,20.55,45.57,99.99,0.0,0.0,1017.45,51.95,144.38,59.73,154.84,50.58,0.0,118.47,0.0,809.5,100.17617427768543,10.17617427768545,10.17617427768545
Corey Lau,22.7,59.79,114.6,325.11,0.0,0.0,56.09,0.0,56.32,121.22,53.28,0.0,125.08,0.0,21.74,51.71,120.15,0.0,0.0,0.0,56.58,0.0,56.7,120.91,53.67,0.0,126.65,0.0,21.75,52.93,139.34,338.02,0.0,0.0,52.29,162.81,54.81,121.32,52.04,136.26,126.07,279.07,21.95,50.58,140.87,0.0,0.0,0.0,53.44,127.43,54.68,120.85,50.86,0.0,117.63,322.66,862.6666666666666,98.6689872174004,8.668987217400401,8.741221341088051
Corey Main,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.83,48.97,114.34,0.0,0.0,0.0,46.84,101.69,0.0,0.0,47.45,0.0,121.29,0.0,20.21,44.35,94.06,0.0,0.0,0.0,46.28,100.99,0.0,0.0,47.8,0.0,113.03,0.0,1002.3333333333334,100.1647481626127,10.164748162612694,13.0836082657033
Corey Okubo,23.84,50.19,107.17,281.66,0.0,962.13,52.74,111.78,0.0,134.28,51.15,109.18,111.65,240.58,0.0,47.98,101.67,0.0,0.0,0.0,49.96,106.91,0.0,128.63,49.94,106.45,109.84,229.74,22.47,47.24,102.2,0.0,0.0,0.0,49.99,106.17,62.48,0.0,48.44,106.06,107.07,232.13,22.39,47.21,102.62,0.0,0.0,0.0,48.74,103.61,60.59,128.4,47.53,104.5,105.42,228.95,967.0,99.83499057004309,9.834990570043097,9.691442663833806
Cory Mayfield,0.0,52.6,107.31,279.06,578.44,965.01,61.71,0.0,78.81,0.0,55.19,117.15,120.1,253.39,0.0,59.34,105.45,276.04,575.89,951.57,0.0,0.0,0.0,0.0,53.74,113.84,117.03,247.06,26.13,0.0,102.07,271.84,563.37,944.34,0.0,0.0,0.0,0.0,53.72,112.35,115.52,248.38,25.87,0.0,116.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,129.74,138.49,281.68,868.0,97.89057694745652,7.890576947456521,7.890576947456521
Craig Emslie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.31,145.15,0.0,0.0,0.0,0.0,23.81,53.03,0.0,0.0,0.0,0.0,0.0,0.0,65.67,144.25,0.0,0.0,0.0,0.0,24.28,52.62,0.0,0.0,0.0,0.0,0.0,0.0,63.97,141.21,0.0,0.0,130.65,0.0,958.0,82.40921636024184,-7.590783639758154,-7.480510100925969
Craig Schindewolf,23.36,52.21,112.3,0.0,0.0,0.0,0.0,0.0,63.13,0.0,0.0,0.0,129.51,0.0,23.0,49.78,113.01,0.0,0.0,0.0,0.0,0.0,62.86,142.03,0.0,0.0,126.17,0.0,23.41,49.41,111.31,0.0,0.0,0.0,0.0,0.0,61.71,144.8,0.0,0.0,127.6,0.0,26.56,56.17,130.02,0.0,0.0,0.0,0.0,0.0,72.41,175.55,0.0,0.0,148.7,0.0,631.0,98.85459289177511,8.854592891775122,9.688166680696767
Craig Steen,0.0,0.0,115.78,300.95,627.77,0.0,60.63,128.49,62.17,132.5,61.08,133.6,122.74,258.83,24.81,52.67,109.23,294.77,0.0,0.0,57.61,121.84,60.47,130.98,57.85,126.96,122.19,255.49,23.69,50.81,106.53,299.47,0.0,1014.14,58.51,120.45,59.63,127.23,60.44,121.46,116.76,252.3,24.12,51.74,108.12,0.0,0.0,0.0,57.8,122.22,58.41,125.64,55.58,120.28,115.83,246.27,843.0,96.64615278710897,6.646152787108964,6.5112052835890815
